,name,gender,关注,粉丝,time,rating,text,useful
22,ma****ly,female,44,2652,2015/3/30,width:80%;,"晋中地区晋商大院颇多，名声最响的是乔家大院，规模气度最大的是王家大院，人称“渠半城”的渠家大院，“寿”字型的曹家大院，我们要去的常家庄园曾为三晋民居之首，有“常半城”之称。
我们参观的常家庄园只有它盛鼎时期的四分之一，我们仍被它的规模震撼，只见一条横贯的大街一侧，满眼都是鳞次阶比的深宅大院，毗邻皆是雕花的门檐。进得一间，看到的虽是雄浑方正的北方庭院，但精雕细刻的栓马石石雕，屋檐上石雕的狮子瓦当，门窗上娟秀的木雕，都能看出庄园中的精巧，更可贵的是，每间院子里都有附有灵秀的南方园林，亭、榭、回廊、小桥各有特色，南方园林中经常会用到的景随步移，天然成趣等词汇，用在这里也不为过。这些院落的后面，还有一个大花园贯穿了所有的庭院，花园内湖水鳞鳞，一座小山上竖立着一座楼阁，远远的，具体也看不清是什么楼。
大院的牌匾大都是大夫第，武德第这样的名称，门边的石碑上介绍像这样的庭院里一般是出过读书人，或者是我们现在说的政客的，所以常家庄园里的建筑上，也融合着儒家的风格，常家人也被称为儒商的代表。
常家是以茶叶贸易起家，曾将中国武夷山的茶叶出口到莫斯科，所以在庄园的院子中，详细介绍了常家的贸易历史，还有些庭院内，分门别类地介绍了中原地区的建筑的式样和风格。对照着这些介绍，再看看庄园中的建筑上的门、窗、飞檐、走壁、牌匾和花墙，越发觉得这里的建筑实在是蔚为壮观，不愧为华夏民居的大观园（这个“大观园”是常家庄园门票上对自己的评价，我举双手表示同意）。",有用 （5）
23,m94****59,female,0,0,2014/8/22,width:100%;,我在携程网订的景+点套餐，我们从石家庄先到的常家庄园，晚上入住的平遥古城永贤居客栈，一晚上客栈——明清大炕房（3.3米的大坑一家三口睡舒服宽敞极了），再加上两张常家庄园的成人票（孩子免票了），算下来一共197元，真合适啊真合适。在门口换票很方便，常家庄园非常大，院落干净，气势恢宏，人数很少，我觉可以让我们慢慢品味着常家一门一石的豪门味道以及常家推崇的儒家文化的弥漫，他们可以富过七代，那一定是离不开“学而优则贾”的传统。平遥古城永贤居客栈院落非常干净，有特色，老板也很热情，真心推荐一下。,有用 （5）
24,M14****173,male,0,0,2018/2/20,width:100%;,庄园没有全部开放，但已经足够大！真是不到山西，不知啥是有钱人。单是每个院子一进门精美的照壁砖雕、不尽相同的院落布局、每间房子门楣、窗棂上各不相同繁琐精致的镂花、乃至墙上的各色砖雕、石雕……，更不用说高大的城楼、毫不逊色于江南的私家园林……，其间的奢华，雍容，繁杂，不单是榆次老城，怕是晋城宰相府、故宫帝王家都无以匹敌，鲜出其右。到这一游，让你眼界大开，为我们民族的建筑艺术，为其间主人的传奇人生，为我们引以骄傲的优秀文化。,有用 （4）
25,_WeCh****37110,male,0,0,2018/1/31,width:80%;,挺好的，就是很冷，人不多，可以好好浏览一下大院景观,有用 （4）
26,达尨惇就是我喽,male,0,0,2017/10/7,width:100%;,本来打算去王家大院，看了网上的评价，决定去常家庄园。从平遥开车1小时到榆次。发现到这里绝对来对了。这里不仅仅有晋风的特色，还有南方的旖旎。值得一游。,有用 （4）
27,ZY张张,female,2,0,2017/6/5,width:100%;,常家庄园可以说是所有晋商大院里面占地面积最大的了，前宅后园的形式，花园非常大，也特别漂亮，走进以后犹如穿越，更像画中的美景～推荐大家来参观！,有用 （4）
28,我是小傻蛋,male,2,0,2017/4/4,width:100%;,我是从西安坐火车去的太原凌晨四点多下火车，然后，坐公交车直接换了两次公交到的。常家庄园，去的时候刚好，开门不久。里面规模很大，那天的游客不多。一个人在院子里面转了一下，体验到了晋商当年的辉煌。没错，所有的繁华财富都将在百年之后，体现在一座院子上面，留下了永恒的记忆。人早已不知去向。图片中那个小孩是我在常家庄园里面碰到的。和这个小孩，聊了几句话啊！挺可爱，乖巧的小朋友，又想起了自己小时候。很是感慨！,有用 （4）
29,周游列国,female,8711,3413,2017/3/13,width:100%;,常家庄园是山西众多晋商大户中最独特的一处，其它的只有宅弟，只有常家还带有一个非常大的花园，而且还有一个叫沼弟湖的湖泊，值得一游。,有用 （4）
30,M36****612,female,0,4,2017/2/4,width:100%;,今天自驾去的，家里离这个景点不远，跟妈妈去的，门票才60，学生证半价，很划算。去过乔家大院，跟常家庄园比真的好小，而且乔家商业气息太重，人又那么多，相比之下，常家庄园性价比较高。而且常家还是中国第一儒商世家，在参观过程中就可以感受到这个庄园的宏大与儒雅，精致的砖雕木雕让人惊叹，穿插其中的各个小园林让人觉得犹如世外桃源，如果夏天过来肯定更美～然后是庞大的建筑群落，我们现在看到的仅仅是原本庄园的五分之一，可就这已经让我们转的腿疼，可见常家当时家世之显赫，而且每个堂口都各有特色，有专职商业的，有专门用来读书的，有宗祠，有专门是住宿的～我不是特别懂，但看了就觉得这就是大家才有的气派啊～推荐大家去，而且还是请个导游吧，听点人家讲解，会对这个庄园有更深刻的理解。,有用 （4）
31,_WeCh****12186,male,0,0,2016/10/4,width:80%;,看大院文化，常家庄园最具有代表性，常家庄园里面太大了，比其他大院大多了，关键是院里有一个大花园，有水，是其他大院比不了的，缺点是里面没有民俗展演。,有用 （4）
32,广阔天空,female,0,0,2016/9/5,width:100%;,庄园很大，很有气势，拿来拍电影真的很好，已经拍过很多电影，后花园很大很漂亮，其中有千年的枣树和柳树值得参观，古建筑的窗花保存很好。,有用 （4）
33,186****9422,female,0,0,2015/11/5,width:100%;,找到照片了，大家看看吧，绝对5分，最美在后花园,有用 （4）
34,185****4220,male,0,1,2015/10/7,width:100%;,曾游王、乔、渠等园，常氏均胜之。宏伟鳞枇，不下灵石，而砖木雕刻实胜之。院后有园，亭榭池阁有南园风味。观稼楼巍然临水，池旁山楂朱滴成簇。抵时已近黄昏，夕阳映绿水玉栏朱户黄墙，尤具风味。,有用 （4）
35,_WeCh****274862,female,0,0,2019/5/1,width:100%;,常家庄园之前有几个朋友推荐，来转转的念头已经很久，来玩过之后觉得真是名不虚传，其建筑有深厚的文化底蕴，展现出我中华文化的博大精深，源远流长！,有用 （3）
36,YJYJ325,male,0,0,2018/4/14,width:100%;,与山西很多大院不同，这里有很好的山水园林，值得去看看,有用 （3）
37,简凡,male,0,0,2018/3/19,width:100%;,榆次最值得去的景点了，很大很大好多好多院子，花园也很大，很漂亮一定要四五月份去花开时节，也不会太热，坐车也很方便公交车直达景区,有用 （3）
38,e16****61,male,0,0,2018/2/22,width:80%;,旅游人数较少（当然是对比乔家），但是人文景观我认为比较大气，另外导游讲解的也比较详细，在讲解中可以细细品味过往的历史，我觉得还是性价比比较高的,有用 （3）
39,_WeCh****37398,male,0,0,2018/2/20,width:100%;,常家大院如此之大，气势恢宏，雄伟壮观，鳞次栉比，楼台亭阁，相映成辉，雕梁画栋，蔚为壮观。可谓华夏民居大观园，传统文化全景图。,有用 （3）
40,M26****8027,female,2,1,2018/2/19,width:100%;,震撼，儒商之家，真是奢华!建筑面积之大，建筑风格之讲究，庭院三六九等，窗棱花，皂壁，门墩都相当精致讲究!反观现代人住巴掌大的地，连晒太阳都奢侈!封建有不好处，但本人还是羡慕嫉妒!,有用 （3）
41,M44****217,male,9,4,2018/1/10,width:80%;,常家庄园当年按八卦图形建造家园，建有八座这样的城门楼、南北和东西二条大街、5000余间房廊、7处花园，共占地60万平米（略小于故宫，是乔家大院的60倍），由于战争及历史原因，如今全貌已不复存在。亏得当年的县政府把“老红军休养所”办在了庄园东北角的主要建筑内，才躲过了文革浩劫，使庄园留下了这些我们目前尚能参观到的建筑物，和这座硕果仅存的“敦艮吉”城门楼（八卦中东北为“艮”）。,有用 （3）
42,小糊涂神1108,female,2,6,2017/11/3,width:100%;,太原顺风车去。来回一百以内。。里面静园是北派私家园林最大的。。美哉。。最美时是雪天和杏花开时游玩，现在秋叶黄也很美哟~宣传力度不够，游客少、像包场。。一圈晃下来，工作人员都认得我们了。。,有用 （3）
43,周游列国,female,8711,3413,2017/3/31,width:100%;,常家庄园位于山西榆次，规模很大，有两条街，象个小县城。尤其特别还建有一个带湖的园林，美丽的湖泊配上亭台楼阁，很有园林味道。砖雕是一绝。,有用 （3）
44,周游列国,female,8711,3413,2017/3/17,width:100%;,常家庄园规模巨大，能比一个小县城大。庄园内有常氏私塾，是常家教育后代，为族人传授知识的地方，他山之石的横匾教育后人要向别人学习，才能不断进少，光宗耀祖。,有用 （3）
45,M48****640,male,0,0,2016/12/11,width:100%;,到榆次老城转12路就到，庄园非常不错，60岁以上的老人还是半价。全程跟别人曾的导游，导游讲的非常详细，特别涨知识，感谢我跟的导游带的团队，全程没有嫌弃我们，还对我们很客气,有用 （3）
46,那敢情好了,female,38,9787,2016/7/26,width:60%;,"走过了渠家大院，乔家大院，王家大院，虽然常家庄园不是最大的，但是绿地面积应该算最大的，花园应该算是最好的。
家门太大，弄得跟城门似的。里边不大不小，仅次于王家大院吧，一条主干道两侧是居住的院落，其实主干道更像是商业街。现在只开放了一半，干道的一侧，另一侧只有一些门脸儿被当地人用作商业，餐馆什么的，其实是一种破坏，变成了民用，怯，脏乱。",有用 （3）
47,明月韶华,female,3,127,2015/9/12,width:100%;,2010年春节去的常家庄园，在晋商大院中声明不著，但是可玩性很高，概因常家庄园的院子很开阔很大，这点要比乔家大院好，地处榆次，交通还算便利，实际上真正的常家庄园还要大，现在政府只收回来一半，另一半还住着老百姓，很该好好规划下，增加人文的部分。从常家的主干道就能体会到这曾经是一个多门兴旺的家族，自成一个小城，各房头沿着主干道依次排列，小院的门前挂着各种官员的品阶。冬天的萧瑟和这诺大的庄园对比，顿有世事沧桑之感。,有用 （3）
48,_CFT01****6380755,female,0,0,2014/10/13,width:100%;,"常家庄园在晋商大院中是最大的、最宏伟的建筑群. 目前只开发了其中的一小部分,只是由于经营管理不善、广告宣传力度不象乔家大院、王家大院那么影响大,所以知名度很差.悲哀.",有用 （3）
49,广州丁满,male,3,118,2019/7/14,width:80%;,被认为是规模最大的晋商大院，而据说今天开放的部分，也只是以前面积的四分之一，但已足以让人震撼。虽然说是庄园，但从外看，简直是城堡的即视感，壮观度不输国内很多古城。堡墙内有街道、宅院、园林、商铺，很难想象是大家族院，俨然一个小市集。修复的建筑古朴自然，灰色的格调契合了黄土高原的风格。院北是面积广阔的静园，有一汪大水池，干旱的山西，它的出现实属罕见。,有用 （2）
50,M58****162,male,2,3,2019/4/11,width:100%;,常家庄园是国家4A级景区，始建于乾嘉年间，占地60万平方米。目前开放仅为原庄园遗存的半条街，不及原面积的?。常家庄园是规模最大的晋商大院，也是中国最大的庄园式建筑群。,有用 （2）
51,M26****8174,female,0,0,2018/2/28,width:100%;,"很好，很有意思。非常值得一去。
玩了一天很开心的。",有用 （2）
52,M93****02,female,0,0,2018/2/28,width:80%;,第一儒商大院，人不多，可以慢慢游览。规模很大，石雕、木雕精美，有很大的湖面、花园，观稼阁上可以观赏整个园景。有44位帝后碑贴等石刻，文化氛围浓。很值得一游！,有用 （2）
53,M58****680,male,0,0,2018/2/28,width:80%;,我们来的比较早，过了春节假期人比较少，自驾游从太原开车一个小时，门票从携程上预订价格比景区门票便宜好多。不错。,有用 （2）
54,D17****90,male,0,0,2018/2/26,width:100%;,景区很壮观，还有水景，非常值得一看。,有用 （2）
55,M31****445,male,0,0,2018/2/26,width:100%;,带着孩子走咯，好，好，古文话气质,有用 （2）
56,e33****50,female,0,0,2018/2/21,width:100%;,很好，总体感觉是古城中保存较好的，原汁原味的感觉，后人的痕迹很少，而且很大，那个园林简直让人惊叹！只可惜是冬天，如果是春夏秋天感觉会更美。推荐去一次。,有用 （2）
57,118****959,male,0,0,2018/2/21,width:100%;,地方挺大，环境不错，过年期间人也不多，春夏来玩会更好。,有用 （2）
58,_CFT01****0401970,female,0,0,2018/2/19,width:100%;,去过好几次了，喜欢砖雕 木雕 石雕 山西园林和传统文化的朋友不能错过，安静又人少，可以安静的慢慢欣赏！,有用 （2）
59,M51****005,female,0,0,2018/2/18,width:80%;,"大年初三，我们从太原南下，行程1个小时到达榆次常家庄园，庄园气势宏伟，是中国最大的庄园式建筑群。布局严谨，整齐有序，功能性很强。园林集南北之精华。堪称三晋建筑之首。
?",有用 （2）
60,M58****340,male,0,0,2018/2/18,width:100%;,很冷门的地方，但是很大，建筑物也很有特色，很不错,有用 （2）
61,_CFT0****1643,female,0,0,2018/2/18,width:100%;,大年初二去，人不多，冬天景色不如春天，不过，从携程订票，省钱，提前订，一小时后即可使用。老人票价有优惠。服务人员态度好好。一定请个导游，40元，值得，一个半小时就能游览完了，只有请导游才能了解山西儒商的历史发展和底韵，值得去。,有用 （2）
62,189****8292,female,1,0,2018/2/16,width:100%;,庄园很大！壮观！一定要导游讲解，庄园有了故事才生动鲜活！,有用 （2）
63,connie119,male,0,0,2018/2/15,width:80%;,除夕去的，人很少，庄园规模很大，全部兜一圈估计要2个小时,有用 （2）
64,lw****j,female,1,0,2018/2/15,width:100%;,庄园很大，没有人为修葺的痕迹，原汁原味，超喜欢。携程网上订票很方便，到门口一刷二维码就可以进了。注意网上订票后 一小后可以进园。,有用 （2）
65,dudumm,female,10,13,2018/2/9,width:100%;,很大，最喜欢里面的大花园，适合发呆,有用 （2）
66,挪威森林北辰星,male,26,290,2018/2/8,width:100%;,朝花夕拾篇之2017年山西探访篇，伏天刚过，利用周末坐着高铁，倒车来到山西省晋中市榆次区东阳镇车辋村的常家庄园来逛逛，看看这座经过200年修筑，蔚为壮观的常氏大庄园，山西的民间有谚曰：“乔家一个院，常家二条街。”可以看出来常家庄园的建设规模，是相当的大，我们游览的庄园，只是历史上的五分之一规模，但也是相当庞大，简直就是一座城池！,有用 （2）
67,亭亭如盖矣,male,0,0,2018/2/3,width:100%;,非常值得一去的景点，里面的园林太大了，各种花草树木，春夏去更佳。本来预计游览两个小时，结果我逛了5个小时。意犹未尽，不客气的讲，山西人把民间四合院发展到极致了，除了故宫，我在别处没见过这么恢宏的四合院。,有用 （2）
68,_WeCh****37110,male,0,0,2018/1/31,width:80%;,挺好的，大院很美，很有历史感，除了冷以外人也不是很多，但能看看这影视剧中的院子很有意思。,有用 （2）
69,M25****2776,female,0,0,2018/1/28,width:100%;,特别好呀，现在玩，有点人少，但是挺有纪念意义的。,有用 （2）
70,武汉老龙,male,0,10,2018/1/6,width:100%;,中国最棒的庄园之一，非常的大，能慢慢的逛上半天来感受，票价也还算实惠的了，平常的游客也不多，能慢悠悠的静静感受，很是喜欢的地方,有用 （2）
71,_WeCh****13075,male,0,0,2017/10/4,width:100%;,景色很美值得去，北方难得一见的儒商故地,有用 （2）
72,M24****1984,female,0,0,2017/10/3,width:100%;,真的不错，每个宅子的雕刻都不一样，而且，都很精美！关键后面还有个大花园！！,有用 （2）
73,sxtyh好日子,male,0,0,2017/9/17,width:100%;,第一次去庄园，值，非常好，会继续了解学习，希望大家一起去看看吧。,有用 （2）
74,雷瑾355,female,0,0,2017/8/29,width:100%;,景点很好，非常欣赏常氏育人观念，学而优则贾，真正的儒商，常氏经商感觉不是商人，是真正的企业家。可惜去时下雨，不是很尽兴，有机会还会去的。,有用 （2）
75,1361130****,male,19,352,2017/8/22,width:100%;,常家庄园当年按八卦图形建造家园，建有八座这样的城门楼、南北和东西二条大街、5000余间房廊、7处花园，共占地60万平米（略小于故宫，是乔家大院的60倍），由于战争及历史原因，如今全貌已不复存在。亏得当年的县政府把“老红军休养所”办在了庄园东北角的主要建筑内，才躲过了文革浩劫，使庄园留下了这些我们目前尚能参观到的建筑物，和这座硕果仅存的“敦艮吉”城门楼（八卦中东北为“艮”）。,有用 （2）
76,M23****0958,female,0,0,2017/8/15,width:100%;,该景点感觉比较小众，好像知道的人不多，景点游客比较少。去过乔家大院后进行了比较，认为从规模上，该景点面积较大。另外，该景点三环我意外的是没有想到会有如此大的私家园林，而且非常精致！游览时间需要两个小时左右。它的院落规整，雕刻精美！值得推荐！,有用 （2）
77,M43****849,male,0,0,2017/7/12,width:100%;,有文化的底蕴，大院，花园，构成庄园,有用 （2）
78,_WeCh****918617,female,0,0,2017/7/6,width:80%;,不错，就是微信支付的没有短信，有瑕疵,有用 （2）
79,M58****862,male,0,0,2017/6/20,width:100%;,"挺好的，实习生给讲解的，值得一游
！我们去时，恰好有雨，雨中与爱人同游，在北方的太原能有江南的感觉，很美",有用 （2）
80,PollyPL,female,2,109,2017/6/14,width:80%;,常家庄园，儒商世家常家的住宅，现在只剩下当初的四分之一不到，但是已经好大了，花园好大，房间好多，现在是山西第一影视基地，很多电影电视都是来这里取景的，连乔家大院居然也是到这里取景[愉快]停车很方便，十元一次,有用 （2）
81,202****603,female,0,0,2017/6/12,width:100%;,真心好，如果细细品味需要时间很长，值得一去！,有用 （2）
82,爱发呆的悠悠,female,9,0,2017/6/11,width:100%;,很不错，夏日午后漫步园中，感受儒商文化，欣赏静园美景。不失为人间一大快事。常家庄园建筑很是考究，每一扇窗子都有故事，每一进门第都满怀沧桑。杏林，静园，可园既有北方的特色，又不失南方的秀美。很值得一去。携程订票很方便，大门口直接扫码进入。,有用 （2）
83,M40****930,female,0,0,2017/6/7,width:100%;,之前在中学扫墓就去过常家庄园了，只是走马观花，这次和妈妈一起去的，都是半价票，在携程买非常实惠。常家庄园很大，如果要全部都看完，估计得一上午，我们只走了一个多小时就走不动了，只能出来了，里面印象最深的就是非常精致美丽的彩画，颜色搭配得非常完美，还有砖雕也很震撼人心！有很大的湖，拱桥，还有白色的荷花非常美！有很多堂，比如保和堂，广和堂，雍和堂……还有很多第，比如进士第……剩下的想不起来了，总之，常家庄园是非常值得去的一个旅游景点！,有用 （2）
84,_WeCh****46211,male,0,0,2017/6/5,width:100%;,风景不错，园林很漂亮，就是网上预定还要等一小时,有用 （2）
85,_WeCh****46211,male,0,0,2017/6/5,width:100%;,风景很好，荷花开的很棒，值得一游,有用 （2）
86,_WeCh****16333,female,0,0,2017/6/4,width:100%;,建筑古朴壮观，气势恢宏，有着深厚的文化底蕴，很值得一去。,有用 （2）
87,M22****449,male,0,0,2017/6/3,width:100%;,常家庄园建筑大气，静园景色很美，贵和堂古朴，砖雕精美，值得一去,有用 （2）
