,Unnamed: 0,name,gender,关注,粉丝,time,rating,text,useful,,,,,,,,,
82,82,远方的征途,male,11,114,2018/12/11,width:80%;,西江千户苗寨博物馆就在苗寨之内，博物馆本身是不在收费的，但是需要凭西江千户苗寨景区的门票进入，整个博物馆就分上下两层，分为几个展厅，展示内容包括宗教信仰、银饰服装、建筑技艺、苗医苗药、以及婚丧嫁娶事宜等等，是到苗寨来必游的景点之一。,有用 （0）,,,,,,,,,
87,87,吃喝玩乐好开心,male,13,278,2018/9/21,width:60%;,西江苗寨博物馆在西江千户苗寨景区里，不需要额外买票的。排队的人不多，就去看看。里面放了一些老物件，展示了一些老苗寨的历史习俗！,有用 （0）,,,,,,,,,
109,109,qingqing11,male,6,39,2017/12/18,width:100%;,可以去参观一下，不会再收门票费！,有用 （0）,,,,,,,,,
123,123,25****922,male,0,0,2017/8/19,width:60%;,免门票，描述苗族历史，值得看看，了解了苗族迁移历史,有用 （0）,,,,,,,,,
124,124,跟随孩子的旅游,male,2,27,2017/8/17,width:80%;,这是一个包含在门票里的景点，里面的人很多，很难静下心来去看他的介绍，所以，只能说一般吧。,有用 （0）,,,,,,,,,
130,130,M22****535,male,0,0,2017/8/6,width:100%;,门票包含，有很浓重的历史文化气息。,有用 （0）,,,,,,,,,
158,158,M40****983,male,0,0,2016/8/12,width:60%;,不需要另外购票，很小的馆，随便逛逛还行。,有用 （0）,,,,,,,,,
174,174,阿涛新视界,male,46,113,2015/10/8,width:80%;,如果有门票就可以免费参观，但是整体设计不合理，每个展区都是独立的一个房间，没有设计行进路线，人多的时候就想无头苍蝇一样到处乱窜的都是人。进门的时候要查票。,有用 （0）,,,,,,,,,
176,176,逝去的荣光,male,2,78,2015/9/9,width:100%;,讲解苗族风俗的地方，展馆做的略显简单，不额外收门票，还是要去了解下，里面最有意思的就是讲苗族的子父连名制,有用 （0）,,,,,,,,,
177,177,lp仔,male,0,0,2015/9/6,width:100%;,博物馆共两层，在西江千户苗寨老街中，分服装，民俗，建筑等展厅，介绍苗族的一些风俗习惯，凭票免费，必去地点！,有用 （0）,,,,,,,,,
182,182,186****3626,male,0,0,2015/7/13,width:80%;,票价比较实惠，我们是等到刚开门的时候去的，写了苗寨的发展史，苗寨人民的生活起居,有用 （0）,,,,,,,,,
200,200,远方的征途,male,11,114,2016/1/16,width:80%;,凤凰古城博物馆位于在凤凰古城内，原陈宝箴世家的百年老宅，是一个集凤凰古城博物馆、陈宝箴世家、雷雨田艺术馆三大载体为一体的文化载体，也是古城凤凰的一道人文景观，博物馆门票已含在古城门票之内，到凤凰古城来要去看看。,有用 （10）,,,,,,,,,
216,216,M27****303,male,0,0,2017/6/1,width:20%;,没啥可看的，9个里面最差景点，如果不够买联票，可以不去,有用 （2）,,,,,,,,,
227,227,yanc****uf1,male,6,1156,2018/6/25,width:80%;,"凤凰古城博物馆是凤凰九景之一 也是凤凰收费门票的景点之一 可惜去的时候有点晚了 博物馆关门了不让进
作为一个博物馆爱好者 对于收费的博物馆真的觉得有些性价比低",有用 （1）,,,,,,,,,
239,239,顺时针1986,male,4,120,2020/5/13,width:80%;,"一座城门楼，是历史；一段古城墙，是历史；一条小巷子，是历史；连铺就在小巷里的每一块红石板，也是历史；古城博物馆更是历史的再现。凤凰古城博物馆陈宝箴世家位于凤凰古城里面，是古城凤凰的又一道人文景观。馆址范围即为清光绪年间道台衙门的组成部分，陈宝箴三代曾经生活过的地方。博物馆里陈列的东西我没有太多兴趣，但是建筑却让我惊叹和喜欢。

凤凰古城博物馆的位置特别好找，在古城核心区的中心地带，朱镕基总理提写的“凤凰城”三字牌坊正对面，和沈从文故居在一条线上，包含在古城148元通票内的景点。这里原是湘籍名人陈宝箴世家，馆址范围是清光绪年间道台衙门的组成部分，个人觉得算是通票包含的景点最有看点的了。分为两部分，陈宝箴世家里主要是原状陈列，古城博物馆有凤凰古城民俗展示，还包含有一个雷雨田艺术馆，个人觉得建筑是最漂亮的了，一处层次分明、错落有致的明清古建筑群，而且全木结构的建筑，没有用一颗铁钉，小到每个窗花都是非常的精致，值得一看。",有用 （0）,,,,,,,,,
242,242,WillSum,male,9,287,2020/3/6,width:100%;,"算得上了解这座古城的窗口吧 但说实话如今不是因为对联票上其他景点有兴趣大可不必前来 里面的展品其实在很多地方甚至弄的更好
个人感觉沈从文先生的东西才是凤凰展示里面可能更逼人眼球的",有用 （0）,,,,,,,,,
259,259,精灵背包游侠,male,0,156,2019/3/18,width:80%;,位于古城入口附近的，是用老屋改造的博物馆，需门票，主要是家具瓷器等。18年前感受了一次心灵震撼的宁静之夜，一直不想再重游触碰凤凰，不想破坏了美好的印象！因为了解到它正逐渐喧闹起来了。这次重游只希望有新收获，不敢奢望超越。但俺发现，只有避开中心区，尤其淡季还是能找到宁静之处的。,有用 （0）,,,,,,,,,
279,279,E23****2921,male,2,1,2017/11/15,width:80%;,这个需要门票单买35连票130我混进去了,有用 （0）,,,,,,,,,
284,284,meren,male,17,89,2017/10/23,width:80%;,这个院子真的不小，需要门票从后门混进去了,有用 （0）,,,,,,,,,
315,315,WillSum,male,9,287,2015/10/29,width:100%;,凤凰古镇博物馆是包含在景区套票里面的景点，这里很详细的给古镇一个大体的介绍，方便游客了解古镇历史文化,有用 （0）,,,,,,,,,
341,341,山西老乡,male,2,72,2016/7/19,width:100%;,"《又见平遥》的营销做的挺好的，广告随处可见，到处都可以买到票。所有广告都把总导演王潮歌（代表作有著名的《印象西湖》等印象系列）的名字放在显眼的地方，不得不说这是驱使我去看这部戏的主要动力，虽然在去平遥之前，我根本没有听说过有这么一部剧。
不同于之前的印象系列，《又》把表演搬到了古城外一个巨大的剧场里（剧场建筑本身也非常有特色，与环境很和谐），搬到了室内。后来查了一些资料，了解到导演是出于北方冬天不适合室外演出的考虑，这一点挺用心的。平遥的魅力之处，是人文精神，是建筑，自然风光可能逊色一点。如果照搬印象系列的以山水为背景，融情于景的表现手法，可能会比较受限制。
我觉得《又》剧最值得称赞的一点，是观众欣赏方式的创新。一般的戏剧，是观众坐着看，通过舞台效果的变化把观众带入不同的场景。《又》打破了这种常规，整个剧场根据情节分成不同的场景，每个场景既是舞台，也是观众席；观众不仅仅是观看者，同时还是表演的参与者，是这部剧不可缺少的一部分。在每个场景中（可能是一个院子，也可能是一条街道），观众可以自由走动，与演员互动，以自己喜欢的方式欣赏表演。导演也会根据情况，控制故事发展的节奏，这样一是给观众换场、演员备场的时间；二也是让观众在欣赏表演的间隙，能花一点时间欣赏一下身处的场景，增加临场感。这种表现方式是可以复制的（我不知道还有哪部戏也是这样的，如果有，我还想去体验体验），但这部戏是不可复制的，只能在平遥演出。怎么可能把一个剧场的建筑搬走？
最后说说故事。故事很简单，平遥商人赵易硕为了义气倾尽家产请镖师营救被绑票到沙俄的王家小爷，最后200余人全部客死他乡，只回来王家小爷一人，王家血脉得以延续。这种故事我觉得是最简单、也是很容易打动人的那一类故事，不存在太多文化隔阂，老少皆宜，不挑观众。整部剧的前半部分很不错，特别是第一部分（或者叫第一幕），一下子就能把观众带入剧中的年代。中间部分有个赵东家选妻的情节，场面比较香艳（实在找不到其他词来形容了，温婉？）。不知道为什么设置这么一个跳脱于主题的情节。依我个人的理解，是为了取悦观众，给观众多留下一点谈资，所以觉得稍微有点过火。最后一部分，也就是王家后人寻根的部分，是整部戏情感的升华，剧情比较弱，基本是靠不停重复一些深情（或者说煽情）的念白来打动观众。一个泪点低的人，可能会被这种超负荷的正能量感动得热泪盈眶。",有用 （36）,,,,,,,,,
347,347,鱼和尚,male,2,130,2017/5/28,width:100%;,非常好的一次体验，携程直接下单，然后电话约好取票，还送张地图告知演出具体位置，演出也非常震撼，大型实景，身临其境，值回票价。,有用 （9）,,,,,,,,,
350,350,M18****555,male,0,0,2017/11/26,width:20%;,首先，表演不错，为什么给差评，第一，因为有个什么电影节，平时七点的场改八点，结果八点没有开始，也没有人解释。那么多人排队，焦躁，还有很多小孩子很累很困，没有人管，直到快十点才开门。第二。场地大小就在那，无限制卖票吗？？大家人挤人，观看感受很不好。,有用 （8）,,,,,,,,,
353,353,_WeCh****0000,male,0,0,2018/7/24,width:20%;,建议到售票中心购买，只贵十块钱。如果通过携程定，到了叫我等，说是给送到售票中心旁边的小树林，34度高温，太阳暴晒。然后又叫我找他取，说没空送票。顶着太阳暴晒到到他说的地方，电话打不通。又等十分钟。非常不爽！影响看节目心情！携程通过代理商订票的，各位看到千万别在这订票，一定要到售票中心买，省时！省心！方便！,有用 （7）,,,,,,,,,
358,358,哨所旁的白杨,male,1,20,2019/6/21,width:100%;,"曾经有好几个人向我强烈《又见平遥》，这次终于亲身体验。
演出时间一般是下午三点和晚上七点，周末及节假日会有晚上9点加场。
位置也很好找，就在古城边上。或者，平遥县城就那么大，顺着平遥县城的主街走10来分钟就到。
演出亮点：整个演出是实景体验式表演，没有座位，观众随着故事发展，跟随演员一同变换场景，仿佛你就在剧情设定的情景中，参与了整个故事一样。场景真实、画面震撼、剧情感人。看过之后让人久久不能平静。
特别提示1：一定要提前在携程买票，因为便宜，且有保障。大多在携程付款后，需要到古城里的代销店取票，这个不用担心。但是如果不在携程买，直接去代售点，那可就是认人家开价了。
特别提示2：个人非常不建议学龄前儿童观看。一方面，是场景和剧情，在成人看来是感动到落泪，但是在学龄前儿童看来，可能就是恐怖。因为在我观看的过程中，有不止一个小孩全程在哭。还有就是婴儿，无论是家长抱着还是有婴儿推车，在演出过程中都是很不方便且容易发生拥挤危险。所以奉劝带小孩的游客慎重。",有用 （6）,,,,,,,,,
360,360,没理也有理,male,0,0,2018/2/20,width:20%;,携程携所谓的经销商价格欺诈，申诉后受到骚扰，已向12315举报,有用 （6）,,,,,,,,,
366,366,顺时针1986,male,4,120,2019/12/4,width:100%;,"平遥作为一座世界文化遗产的历史古城，是中国五千年文化历史的一颗灿烂瑰宝。在平遥古城的第一晚上，我就去看了心心念念的《又见平遥》。可以说，看过那么多实景演出，《又见平遥》真心让我觉得新奇又刺激，一场下来完全觉得不过瘾。

《又见平遥》的特色在于它是一部大型情境体验剧，告别了常见的舞台剧的模式，让观众融入到整场演出当中，我们作为一个看客，既是观众也是演员。演出地在室内，迷宫般的剧场有着繁复的空间分割，不同于传统剧场。整个演出计时90分钟的时间里，我们要步行穿过几个不同形态的主题空间，在清末的平遥城，镖局、赵家大院、街市、南门广场等，我们看实景演出就像一次“穿越”，有时像看客，有时又像亲历者。  

《又见平遥》讲述了一个关于血脉传承、生生不息的故事。清朝末期，平遥古城票号东家赵易硕抵尽家产，从沙俄保回了分号王掌柜的一条血脉。同兴公镖局232名镖师同去。七年过后，赵东家本人连同232名镖师全部死在途中，而王家血脉得以延续。整个演出通过“选妻”、“镖师洗浴”、“灵魂回家”、“面秀”等片段凸显了平遥人的道德传统及因为这种传统而阐发的悲壮情怀。说实话看完整个演出，我对整个故事情节都似懂非懂，但是整体舞美和这样的表演方式还是让自己觉得过瘾。特别是“镖师洗浴”，这么冷的天，看着一个个小伙子泡在浴桶里，而且是潜水式的浸泡，真心觉得太敬业了。

《又见平遥》演出时间：每周二到周日演出，周一停演。演出场次：每天14：00、19：00两场。每场演出时间为90分钟（旅游旺季、周六和假日期间有临时加场，一般为10.30，16：00，21：00）。演出地点：平遥古城西门外顺城路丽泽苑国际大酒店南侧。注意不在古城内哦，所以去看演出是可以不用买古城门票的。演出票成人238元，推荐网上预定哦，有折扣的，现在是实行的全网实名制购票观演模式，携带与观演信息一致的本人身份证在人脸识别通道刷证入场，无身份证件的未成年人在成人陪同下在人工通道检入，无需兑换纸质票，所以出行前请一定带好身份证。",有用 （5）,,,,,,,,,
372,372,M44****375,male,0,0,2019/6/9,width:20%;,我在携程网上订了三张门票，满怀期待的到了平遥，一个陌生的平遥电话打来，说我定的晚上7点有一个1100人的团，建议我把票换到下午四点，我同意了，过了几个小时这个电话又来了，告诉我一个古城内的晋泰生客栈取票，必须2点半之前取票，否则只能3点到剧场门口取票，无奈，我只能带着娃娃和腿脚有些不方便的妈妈，顶着中午的烈日，2点20赶到了这家客栈，进门就听到店家再跟另外一个顾客争论，顾客说什么没注意，店家一副我就这样你能把我怎么办的样子，我很反感，快速的取了票往剧场赶了。4点赶到剧场，检票的时候检票员告诉我有一张票是晚上9点的，只能进去两人。我再次无奈的给晋泰生客栈打电话告诉他们给错票了，店家很无赖的告诉我，我给你票的时候你自己不看清楚，那只能一位看晚上九点的剧了，我气的半死刚要争论两句，对方直接把电话挂了。我们剧院检票口站了将近20分钟，最后检票员跟客栈老板联系了才算解决问题让我们入场，这个时候已经开场将近半小时了。我只想知道，我在携程网上订的票怎么就会跑到这么无良的票贩子手中！本来很期待的一场大剧看的一肚子气，非常差的购票体验！！！！希望我的这次遭遇可以得到携程网以及景区的重视。,有用 （4）,,,,,,,,,
375,375,挪威森林北辰星,male,26,287,2018/4/16,width:80%;,去年去山西旅游，先去看的壶口瀑布，然后回来的时候去了平遥古城，刚到平遥古城已经晚上了，直接找拉我们的当地车夫定的晚上八点半的那场《又见平遥》实景演出剧，车夫同志拉我们到达又见平遥售票处取票，然后在剧院门口排队等候开场！这是一场很奇特的演出剧！,有用 （4）,,,,,,,,,
376,376,_WeCh****60805,male,0,0,2018/4/9,width:40%;,演出不错，就是买票下单要看仔细了，人家这个订单是一个订单一桶醋，不是一张票一桶醋，我买了4张结果就一桶醋，古城随便10元就能买一大一小醋，感觉上当了,有用 （4）,,,,,,,,,
378,378,翱翔的大鲨鱼,male,18,63,2018/1/15,width:80%;,如果旅行时有闲暇时间。还是应该去看一下。这美轮美奂的演出。通过精彩的表演，演绎平遥的历史文化传承。场景音乐表演都还不错。对得起门票。,有用 （4）,,,,,,,,,
388,388,203****938,male,0,0,2016/10/14,width:80%;,我们十一去的，到了平遥古城，买的票价是298，晚上人特别多，演出很新颖，身临其境，演员都很到位，情节感人，是比较喜欢的一场演出，就是有点乱！,有用 （4）,,,,,,,,,
391,391,137****6788,male,5,0,2016/8/21,width:100%;,08奥运会部分创意融入，故事太过于悲壮煽情，魂魄故事看后住平遥老宅易睡不着。观看方式新鲜，站着看，人太多了。选妻和一碗面有点意思。票价高,有用 （4）,,,,,,,,,
406,406,_U4****2555,male,0,0,2017/10/7,width:20%;,买了票因为堵在高速遗憾的没能看成，问了也不能改成别的时间，这个有点不人性化，因为是日常性演出，还是希望可以有退改签政策，以满足不时之需！,有用 （3）,,,,,,,,,
414,414,不是出差路上就是出中,male,0,0,2016/11/1,width:100%;,总体来说还可以，不过不是故事情节表演，是歌舞表演，不是我喜欢的类型，导演编得提有心思，票价对得起表演，走动式观看，跟没素质的观众一起，会很烦,有用 （3）,,,,,,,,,
424,424,哨所旁的白杨,male,1,20,2019/6/21,width:100%;,曾经有好几个人向我强烈《又见平遥》，这次终于亲身体验。 演出时间一般是下午三点和晚上七点，周末及节假日会有晚上9点加场。 位置也很好找，就在古城边上。或者，平遥县城就那么大，顺着平遥县城的主街走10来分钟就到。 演出亮点：整个演出是实景体验式表演，没有座位，观众随着故事发展，跟随演员一同变换场景，仿佛你就在剧情设定的情景中，参与了整个故事一样。场景真实、画面震撼、剧情感人。看过之后让人久久不能平静。 特别提示1：一定要提前在携程买票，因为便宜，且有保障。大多在携程付款后，需要到古城里的代销店取票，这个不用担心。但是如果不在携程买，直接去代售点，那可就是认人家开价了。 特别提示2：个人非常不建议学龄前儿童观看。一方面，是场景和剧情，在成人看来是感动到落泪，但是在学龄前儿童看来，可能就是恐怖。因为在我观看的过程中，有不止一个小孩全程在哭。还有就是婴儿，无论是家长抱着还是有婴儿推车，在演出过程中都是很不方便且容易发生拥挤危险。所以奉劝带小孩的游客慎重。,有用 （2）,,,,,,,,,
425,425,魂殇丽江,male,12,27,2019/6/13,width:80%;,又见平遥》讲述了一个关于血脉传承、生生不息的故事：清朝末期，平遥古城票号东家赵易硕抵尽家产，从沙俄保回了分号王掌柜的一条血脉。同兴公镖局232名镖师同去。七年过后，赵东家本人连同232名镖师全部死在途中，而王家血脉得以延续。,有用 （2）,,,,,,,,,
441,441,M31****082,male,0,0,2018/2/10,width:100%;,非常非常好看 绝对值得票价！！,有用 （2）,,,,,,,,,
442,442,仙草奶茶LuCY,male,0,0,2017/11/12,width:100%;,平遥的强烈推荐之一，周五当天请客栈老板帮忙订票，被告知只有周六下午和晚上9点的了，老板不慌不忙等到下午果然等来了退票的，按照原计划帮我们订到了周五晚七点的票，原价238我们只花了180，这就是住在古城里的便利条件。提前订票却不用提前选座，因为根本没有座，整个演出一个半小时，其中有一小时都是走着看的，演员就在你身边演。第一幕魂归故里打雷下雨小朋友怕极了，进门时就提示心脏病患者谨慎观看。最后半小时是坐在剧场里看，走了一小时都累得不行了，导演还是很体贴的。,有用 （2）,,,,,,,,,
463,463,hm****y,male,0,0,2017/5/28,width:100%;,表演很精彩，震撼！取票也比较方便,有用 （2）,,,,,,,,,
465,465,M34****572,male,0,0,2017/5/11,width:80%;,剧情很好，就是拿门票很费周折，满城跑，为什么不是去景区门票点领票？说送票到我们手里，还让我们跑？！累得我们都没心情看剧了，这种售票形式有点伤人心啊，钱可以给你们赚，但不应该这么乱！,有用 （2）,,,,,,,,,
466,466,温情地陨星,male,1,0,2017/5/11,width:100%;,以前来过平遥古城，但当时还没有这个，这次听说新加了一个，就像过来看看，刚开始订票的时候，还觉得怎么这么贵，但看了以后却觉得这个价格还有些便宜了，物超所值，可能每个游客买票都觉得有点儿贵，但看了才知道贵不贵,有用 （2）,,,,,,,,,
470,470,料你不敢,male,0,0,2017/5/3,width:100%;,场面震撼，声光效果非常新颖，再现了当年壮烈的一幕。就是取票不太方便，不在剧场的售票处取票。,有用 （2）,,,,,,,,,
478,478,M56****399,male,0,0,2017/3/6,width:100%;,演出很不错，值得一看，而且订票取票都很方便,有用 （2）,,,,,,,,,
500,500,M18****969,male,0,0,2015/10/6,width:100%;,演出非常好看，携程取票也很方便。个人感觉古城门票没必要买，在古城逛逛就挺有感觉，但演出得看。,有用 （2）,,,,,,,,,
518,518,free_zihang,male,22,77,2019/10/6,width:100%;,又见平遥讲述了同治六年，票号王家第六代单传、王掌柜惟一的儿子被沙俄绑架。为了营救王家唯一的血脉，同兴公镖局东家赵易硕抵尽家产，带着232名镖师，前往沙俄解救人质。7年后，赵易硕和镖师全部客死他乡，王家的血脉却得以解救。这是平遥城的仁德，也是山西人的仗义，更是中华民族的美德。,有用 （1）,,,,,,,,,
532,532,110****510,male,0,0,2019/8/18,width:20%;,每张票比票面价多60元，有点黑，听说平遥最近正在整顿这方面 ，5A景区估计会黄,有用 （1）,,,,,,,,,
542,542,哲雷,male,0,0,2019/8/8,width:100%;,非常开心的平遥周末游。听同事说起又见平遥演出，非常想去看，这么说吧，去平遥就是去看《又见平遥》演出的。我们是7月末去的。去之前查了下演出票携程是228，心想到店里再通过店家买，也许更便宜些呢。结果周五晚上到了一问，周六晚上7点和9点的票已经涨到298元（票面价298），就立即在携程下周六下午2点的票，238元一张，算是最低价了。如果想去看的朋友，一定要提前下订单，那个演出票+22个景点的套票也很合算，我们想买的时候已经没有票了。携程买后开演之前提前去任何《又见平遥》取票点去取票就可以了。我们拿的是A区入口的票，听说A和B区前端戏稍微不太一样的。人超级多，场景剧，边走边演，很有意思。刚开始的那场，因为人多，我们三个人就站在靠最左侧有隔离带的地方，结果灯光一打，墙上突然冒出来个人，就在你眼前，吓一跳，也很有意思。如果人数控制的再少一些就好了，人太多，影响心情。有机会还想看B区入口的演出。如果你去平遥，一定要看《又见平遥》哟。,有用 （1）,,,,,,,,,
544,544,四海旅途,male,0,0,2019/8/7,width:100%;,演出前到一公共厕所去碰头拿票，有点像特务接头！不能换一个没有味的的地方么？因为是走着看，所以无所谓，拿到票就进去看，又见平遥还是很值得看的，旺季推荐还是要早订票！配图是平遥旅游和醋，跟演出没关系哈,有用 （1）,,,,,,,,,
552,552,旅游爱好者小冀,male,0,10,2019/7/10,width:100%;,订票取票快捷方便，还会介绍朋友过来,有用 （1）,,,,,,,,,
557,557,哨所旁的白杨,male,1,20,2019/6/21,width:100%;,曾经有好几个人向我强烈《又见平遥》，这次终于亲身体验。 演出时间一般是下午三点和晚上七点，周末及节假日会有晚上9点加场。 位置也很好找，就在古城边上。或者，平遥县城就那么大，顺着平遥县城的主街走10来分钟就到。 演出亮点：整个演出是实景体验式表演，没有座位，观众随着故事发展，跟随演员一同变换场景，仿佛你就在剧情设定的情景中，参与了整个故事一样。场景真实、画面震撼、剧情感人。看过之后让人久久不能平静。 特别提示1：一定要提前在携程买票，因为便宜，且有保障。大多在携程付款后，需要到古城里的代销店取票，这个不用担心。但是如果不在携程买，直接去代售点，那可就是认人家开价了。 特别提示2：个人非常不建议学龄前儿童观看。一方面，是场景和剧情，在成人看来是感动到落泪，但是在学龄前儿童看来，可能就是恐怖。因为在我观看的过程中，有不止一个小孩全程在哭。还有就是婴儿，无论是家长抱着还是有婴儿推车，在演出过程中都是很不方便且容易发生拥挤危险。所以奉劝带小孩的游客慎重。,有用 （1）,,,,,,,,,
559,559,贝拉的爸爸,male,0,0,2019/6/7,width:100%;,内容形式多样，故事情节感人，就是票价有点贵,有用 （1）,,,,,,,,,
560,560,M31****451,male,1,0,2019/5/27,width:20%;,演出很好，售票的太差，景区小交通司机嫌弃在网上买票麻烦，取票点离剧场超级远10来公里说是1千米，跑去了才说可以送票到检票处，不完美的一次网上购票！！,有用 （1）,,,,,,,,,
584,584,M38****532,male,0,0,2018/10/11,width:100%;,去古城买更方便价格一样，住的酒店客栈基本都有帮买的，而且直接就拿到了。网上买的还得去取票，麻烦。不过演出是相当震撼啊。非常推荐。,有用 （1）,,,,,,,,,
585,585,王策,male,0,0,2018/10/7,width:20%;,官方价格是238，在这里我买的却是是388，买了三张，让服务员改签，拒绝，说我买的是套票，店家打着套票的幌子欺骗不熟悉平遥的生客，再次来平遥的朋友们不要在网上买票，请直接去售票处买票，很好买到的，不要相信网上的胡说八道，总之四个字：上当受骗,有用 （1）,,,,,,,,,
591,591,118****736,male,0,0,2018/9/16,width:60%;,主要是站着要一个小时，在旅游了一天后，挺累的。送票过程也有点折腾。,有用 （1）,,,,,,,,,
598,598,320****529,male,0,0,2018/8/21,width:40%;,打了有10多个电话，耗费半个小时，临入场最后几分钟才拿到门票，服务很糟糕。,有用 （1）,,,,,,,,,
602,602,66****553,male,0,0,2018/8/16,width:60%;,"我们只是慕名而去的。但是这个演出的开场，少儿不宜，会被吓到的，一开始就是鬼魂回到平遥古城，从城墙里蹦出来，带小孩去看，都被吓哭了。这个票也好，演出也好，也没有一个少儿不宜的提醒！
另外小孩超过120cm，就要买全价票238元，真是很坑，其实小孩什么都看不懂。参与式的情景剧，还是不错的。",有用 （1）,,,,,,,,,
605,605,洁哥,male,0,1,2018/8/1,width:100%;,本来订的七点场，后因为没票了改为九点场，工作人员也及时进行了沟通。人在戏中的表演方式还是非常新鲜的，讲的是平遥城镖局的故事，个人觉得是值这个票价的！,有用 （1）,,,,,,,,,
628,628,龙公58,male,0,0,2018/4/29,width:60%;,如果不是獨具特色的演出平台(演员观众同台），我给的評价会更差，为什么？用一个充满封建糟粕的故事來表达平遙古城文化的千年传承实在是导演走了眼，政府居然支持并投資上亿，低俗的內容只为迎合票房的收入，可怜的日昇昌在一旁瑟瑟发抖，看完了后悔了,有用 （1）,,,,,,,,,
629,629,小白马233,male,0,0,2018/4/29,width:100%;,感觉非常好，特别创新，情景式的，和丽江千古情一样让人耳目一新，价格有些小贵，不过值得，话说这个票价和丽江的千古情是串通好的么(?(エ)｀)？表演的最后在想如果我是一把火就好了233,有用 （1）,,,,,,,,,
