,Unnamed: 0,name,gender,关注,粉丝,time,rating,text,useful
29,29,xw99,male,30,221,2017/3/11,width:100%;,博物馆是苗族吊脚楼建筑形式，全木结构，上下两层不同展室分别介绍苗族历史文化，生活习俗，服装服饰，苗医妙药，语言文字，有专人解说,有用 （2）
32,32,139****0768,male,120,9,2016/12/30,width:100%;,很好的一个博物馆，对了解苗族的风土人情有很大的帮助。,有用 （2）
34,34,amyyuwen,female,2,972,2016/8/16,width:100%;,很多关于西江苗族特色的物品展出！,有用 （2）
36,36,jianling6110,male,1,0,2016/8/7,width:100%;,介绍苗寨文化，多个展厅内容还挺丰富，凭景区大门票免费参观,有用 （2）
37,37,吉林太浩,male,1,0,2016/7/18,width:100%;,没有时间看夜景很遗憾，去得时候也正赶上装修舞台，没有看见演出。不过是很好的地方。,有用 （2）
39,39,M38****021,male,0,0,2016/5/27,width:100%;,博物馆还好，可以了解一下当地的一些习俗,有用 （2）
41,41,哎呀兔子,female,0,0,2016/1/9,width:100%;,讲苗族的吃穿住行还有名族风俗，挺不错的，可以慢慢的仔细的看看,有用 （2）
43,43,Mrs靖王妃,female,0,0,2015/12/17,width:100%;,来过便不曾离开，致最美、最淳朴的梦幻仙境——西江千户苗寨,有用 （2）
46,46,竹子呀呀,female,5,1,2014/12/12,width:100%;,小小的一个博物馆，展出了苗族人的历史和生活，抽个半小时了解一下很好。,有用 （2）
47,47,137****1935,female,0,0,2014/10/2,width:100%;,已博物馆展览为主，商业化气息很重。请了个导游讲解，才知道博物馆属于后建的展厅。,有用 （2）
51,51,爱兔昕,female,2,0,2019/5/19,width:100%;,很好！从各个方面详细介绍了雷山县苗族的饮食、婚嫁、节日等各方面的情况，主要介绍的是西江千户苗寨。让大家对雷山县苗族有个深刻的了解。下午五点半关门，五点二十就不准入场了,有用 （1）
54,54,105****839,female,0,0,2018/3/17,width:100%;,好好好好好好！喜欢喜欢！真的推荐,有用 （1）
55,55,玩嗨了,male,168,219,2017/9/25,width:100%;,一定要去，只是要注意下午四点闭馆，掌握好时间。图文并茂，投影视频全面解释苗寨的风土人情，对旅游者帮助很大，三十分钟即可，免费参观。,有用 （1）
58,58,amy旅者在路上,female,15,1425,2015/9/6,width:100%;,在西江苗寨的最后一天去了西江苗族的博物馆，博物馆是位于西江苗寨大门的位置，从大门过来只有200多米，由于清晨去的时候还早，所以博物馆还没有开门，于是在博物馆门口的广场那里看到西江苗族的阿妈在那里制作手动糍粑，于是体验了一把，很是欢乐。,有用 （1）
61,61,M27****3815,female,11,22,2020/4/25,width:100%;,只要是当地的农耕文化交流，还有就是穿着服饰演绎！,有用 （0）
65,65,_WeCh****719288,male,0,0,2019/11/5,width:100%;,保存很好，不收费，公道的很…… 人性化开放,有用 （0）
67,67,天涯游玩人,male,12,60,2019/9/25,width:100%;,可以进去看一看，了解当地民俗民风！,有用 （0）
68,68,152****1555,female,1,2,2019/9/13,width:100%;,千户苗寨的必去博物馆 了解苗寨文化 太美 在表演场对面 很好找的 免门票 厕所有。推荐一下 去了两次设计也好的  哈哈哈哈,有用 （0）
71,71,xiaohei5678,female,69,1984,2019/8/29,width:100%;,真是名不虚传的旅游胜地，充满少数民族异域风土人情，让游人迫不及待地想沉浸其中，而且想换上民族服装，吃上当地食物，体验当地生活。,有用 （0）
72,72,大青虫H,female,29,50,2019/8/25,width:100%;,苗寨吊角楼是住宅，木质结构，建于半山腰，冬暖夏凉，空气畅通，有特色，且有科学性。梯田是他们的辛勤所建，一层层碧绿田地是粮食产出基地。改革开放后，也下山卖出农付产品。这里水清山美，空气新鲜。,有用 （0）
73,73,周游世界I,female,9,106,2019/8/24,width:100%;,西江苗族博物馆位于西江千户苗寨景区内，门票也已经包含在大景区门票里面，里面由具有典型苗族建筑风格的单体两楼建筑群组合而成，一楼为砖混结构，二楼为木质结构，外观为苗族独特的吊脚楼。,有用 （0）
76,76,与你携手游山水,female,0,1,2019/7/11,width:100%;,了解苗寨的前世今生，苗寨的吊脚楼建筑、银饰的来源、节日庆典、苗族歌舞、婚礼习俗的好地方。“游方”就是“找对象”，哈哈！带有效证件免费参观。,有用 （0）
78,78,浪总走过系列,male,1,49,2019/2/19,width:100%;,很好，很普及知识，有必要去看看了解,有用 （0）
79,79,浪总走过系列,male,1,49,2019/2/15,width:100%;,免费的，值得去，可以了解苗族很好的,有用 （0）
81,81,无疆行,male,9,922,2018/12/17,width:100%;,游玩西江千户苗寨景区，必去的景点之一就是西江苗族博物馆。博物馆无需门票，面积不大，两层楼高，每一层几间房，房间有各种苗族的习俗介绍，对我们了解苗族文化帮助很大，慢慢玩，半个小时足够了。,有用 （0）
83,83,俺村我最俊,female,424,145,2018/11/10,width:100%;,博物馆可以免费参观。 内里展示的，当然少不了苗族的文化展览，有银器及民族服装等详细介绍及展示。 还有不少的特色展示品，景泰蓝食物盘这个好少...总的来说文化历史悠久！,有用 （0）
86,86,浙江年年游,male,8,221,2018/10/2,width:100%;,位于西江千户苗寨景区内，可凭身份证免费参观。馆内共有两层，不同的展厅向游客展示苗族的文化，服饰，生活用品等。通过参观可以了解到苗族的文化风俗，印象深刻。,有用 （0）
88,88,_WeCh****522404,female,2,0,2018/9/14,width:100%;,必游景点！了解西江苗寨的风土人情！生活习俗！,有用 （0）
90,90,凌--,male,2,2,2018/8/12,width:100%;,博物馆虽不大，但是展厅不少，里面的展览简洁却又完好的展示了苗寨人民的传统习俗和文化信仰，是了解苗族和苗寨生活的绝佳去处。,有用 （0）
91,91,无疆行,male,9,922,2018/7/28,width:100%;,西江苗族博物馆，千户苗寨景区里必去的地方。博物馆有两层楼，主要内容就是苗族的一些特色和历史，从苗族的习俗到民族服饰，都有详细介绍，累了还可以在走廊坐着休息一会。,有用 （0）
93,93,小马恒恒,male,23,26,2018/6/17,width:100%;,设置在西江千户苗寨景区内，很应景。从这里盛产的米酒打造过程开始，介绍了苗族的饮食习惯，吊脚楼的建筑程序，酒礼习俗，各年龄段的名族服饰，当然还有苗银，质地与做工都极富苗族特色。整个博物馆整体感觉很悠闲，图片居多。,有用 （0）
94,94,七月四月,female,2,10,2018/5/30,width:100%;,来西江千户苗寨一定要先去看西江苗族博物馆，一定要花时间仔细看，再去看-一楼的视频，之后再走走看看西江千户苗寨，你才会觉得有一点看懂苗族了,有用 （0）
95,95,七月四月,female,2,10,2018/5/26,width:100%;,"上午从荔波大巴到西江，4个小时车程，从小北门进1来后，找到住的地方，西江下大雨，就去了博物馆，应该是介绍苗族最专业的啦，仔细看了,",有用 （0）
97,97,_WeCh****722445,female,0,0,2018/5/1,width:100%;,在这里让我们认识到以前是怎样劳作的，很值得纪念呢！,有用 （0）
100,100,meng,female,0,0,2018/4/16,width:100%;,蛮不错的。里面各种苗族风情。在苗寨里面。,有用 （0）
101,101,快乐是永远,female,13,36,2018/4/14,width:100%;,千户苗寨的博物馆里有介绍苗寨的习俗，讲究和生活习惯，不用加门票，你进苗寨的票里都包含了。,有用 （0）
102,102,小波12345678,male,2,37,2018/3/31,width:100%;,值得去看一下啊，这里是西江苗寨的一个博物馆。,有用 （0）
103,103,快乐是永远,female,13,36,2018/3/26,width:100%;,西江苗寨博物馆不用单独购票，苗寨的门票里包含博物馆的票。苗寨博物银饰品精巧。,有用 （0）
104,104,顾家100,male,5,0,2018/3/18,width:100%;,在这里看到了苗寨最初的样子，现在我们住的地方确实很好很好了。,有用 （0）
106,106,_WeCh****016202,female,3,54,2018/2/5,width:100%;,免费参观，可以去感受一下民俗风情风貌！,有用 （0）
107,107,changstar,male,25,0,2018/1/30,width:100%;,苗族博物馆里的展品非常有意义。。。,有用 （0）
108,108,meng,female,0,0,2018/1/14,width:100%;,地方不大，但是介绍很全。里面很多特色介绍。,有用 （0）
109,109,qingqing11,male,6,39,2017/12/18,width:100%;,可以去参观一下，不会再收门票费！,有用 （0）
110,110,小眼镜张,female,21,83,2017/12/15,width:100%;,西江千户苗寨博物馆充分展示了苗寨人的生活。,有用 （0）
111,111,wush,male,8,1,2017/12/5,width:100%;,西江苗族博物馆，很值得去看看。,有用 （0）
112,112,grace,female,6,16,2017/11/27,width:100%;,了解苗族历史的最佳方法，很有趣！,有用 （0）
118,118,136****4875,female,0,0,2017/10/6,width:100%;,很有必要的一个博物馆，有四五个馆，农具馆，药馆等。,有用 （0）
119,119,小眼镜张,female,21,83,2017/9/26,width:100%;,"博物馆,展览着一部苗族发展史诗。",有用 （0）
120,120,206****089,male,3,0,2017/9/18,width:100%;,具有浓郁民族特色的博物馆，让孩子多多学习了解博大精深的中华民族传统文化，看过之后，收获颇丰。,有用 （0）
121,121,家有儿女,female,0,0,2017/9/8,width:100%;,博物馆就在商业街边上，地方不太，可以进去看看了解一下。,有用 （0）
122,122,186****3137,female,0,0,2017/8/28,width:100%;,不用买门票，蛮有趣的，了解苗族文化和历史，风俗。,有用 （0）
125,125,_ccl43****6828255,male,0,0,2017/8/17,width:100%;,不错，可以看看，挺有民族特点的博物馆！,有用 （0）
126,126,_CFT01****3742101,female,0,0,2017/8/15,width:100%;,还行吧，了解了千户苗寨的风土人情！,有用 （0）
129,129,M50****266,male,0,0,2017/8/6,width:100%;,介绍了苗族文化，具有教育意义。,有用 （0）
130,130,M22****535,male,0,0,2017/8/6,width:100%;,门票包含，有很浓重的历史文化气息。,有用 （0）
134,134,arcatchan,female,0,2,2017/8/2,width:100%;,介绍苗旅的历史文化，生活习惯，不错,有用 （0）
135,135,小胖,male,0,1,2017/7/29,width:100%;,"西江苗族博物馆位于西江千户苗寨景内，由具有典型苗族建筑风格的六栋单体两楼建筑群组合而成，一楼为砖混结构，二楼为木质结构，外观为苗族独特的吊脚楼。馆内共设展厅11个，分别为前厅、历史厅、生产厅、节日厅、歌舞厅、建筑技艺厅、服饰银饰厅、体育苗医药厅、巫文化宗教信仰厅、生活厅、多媒体多功能厅。

馆内珍藏有1220余件苗族文物和350余张有代表性的图片、画像、书籍，从苗族历史、生产、生活、节日、音乐、歌舞、服饰、银饰、苗族医药、建筑、巫文化宗教信仰等各个方面展示出苗族文化的独特性和多元性。",有用 （0）
136,136,小胖,male,0,1,2017/7/26,width:100%;,"西江苗族博物馆位于西江千户苗寨景区内，由具有典型苗族建筑风格的六栋单体两楼建筑群组合而成，一楼为砖混结构，二楼为木质结构，外观为苗族独特的吊脚楼。
馆内设有展厅11个，分别为前厅、历史厅、生产厅、节日厅、歌舞厅、建筑技艺厅、服饰银饰厅、体育苗医药厅、巫文化宗教信仰厅、生活厅、多媒体多功能厅。生动的展现了西江地区苗族传统文化的沉淀与苗族文化的理念。",有用 （0）
137,137,qingqing11,male,6,39,2017/7/22,width:100%;,可以去看一看！博物馆里面还是很多新意的！,有用 （0）
139,139,_CFT01****3729632,male,0,1,2017/7/13,width:100%;,西江苗寨景区风景秀丽迷人，好地方。,有用 （0）
140,140,球球,male,0,0,2017/6/15,width:100%;,进去看了看，就是讲解苗族文化的地方,有用 （0）
141,141,拉风菲雅,female,16,147,2017/6/1,width:100%;,值得一游，景致非常好，下次再来。,有用 （0）
142,142,蔓延着思绪,male,0,0,2017/4/27,width:100%;,了解苗族历史   走进苗族生活   学习苗族文化,有用 （0）
143,143,吾兮永,male,49,352,2017/3/24,width:100%;,典型苗族建筑风格的六栋单体两楼，组成了建筑群。反映了苗族的独特历史文化,有用 （0）
144,144,王光宏,male,9,0,2017/3/20,width:100%;,见到了传说中的苗族服饰、银器等,有用 （0）
149,149,ts0****bz,male,0,0,2016/10/16,width:100%;,最大的苗族居住地，苗寨很漂亮，建在几座小山上，宾馆都是木房子，很有特色,有用 （0）
150,150,如是,male,0,0,2016/10/13,width:100%;,还不错，静下心来看看听听，图片文字语音有趣味,有用 （0）
151,151,chenran1998,male,2,20,2016/10/11,width:100%;,假期博物馆里人山人海，共有两层楼，陈列了苗家人的饮食起居所需的物件，有浓厚的民族文化。,有用 （0）
152,152,兰小草,female,0,114,2016/10/6,width:100%;,到了一个地方，参观其博物馆总会了解到许多当地文化。国庆期间去，博物馆人超级多。,有用 （0）
155,155,201****389,female,0,0,2016/10/5,width:100%;,介绍当地风俗民情，带孩子学习的好地方，就是蚊子太多了。,有用 （0）
164,164,Even,female,15,199,2016/3/12,width:100%;,从服饰，宗教，苗药，习俗等等各个方面结束苗族的文化传统，是个了解苗族的很好途径。,有用 （0）
166,166,wa****h9,male,0,0,2016/2/17,width:100%;,还是值得一去的地方，了解苗族的历史风俗。,有用 （0）
167,167,m15****147,female,0,1,2016/2/16,width:100%;,分区介绍苗族的风俗习惯，有蜡像服饰、沿用草药药酒、宗教信仰、饮食炊具、劳动工具等等。,有用 （0）
171,171,M18****032,female,0,0,2015/11/20,width:100%;,分区介绍苗族的风俗习惯，有蜡像服饰、沿用草药药酒、宗教信仰、饮食炊具、劳动工具等等。,有用 （0）
176,176,逝去的荣光,male,2,78,2015/9/9,width:100%;,讲解苗族风俗的地方，展馆做的略显简单，不额外收门票，还是要去了解下，里面最有意思的就是讲苗族的子父连名制,有用 （0）
177,177,lp仔,male,0,0,2015/9/6,width:100%;,博物馆共两层，在西江千户苗寨老街中，分服装，民俗，建筑等展厅，介绍苗族的一些风俗习惯，凭票免费，必去地点！,有用 （0）
178,178,JimmyLuMR,male,0,15,2015/8/27,width:100%;,分区介绍苗族的风俗习惯，有蜡像服饰、沿用草药药酒、宗教信仰、饮食炊具、劳动工具等,有用 （0）
181,181,zhen****109,female,20,163,2015/7/20,width:100%;,比较全面记录的苗族的生老病死，农耕，生活，娱乐，生活。很真实。,有用 （0）
184,184,my00,female,0,3,2015/4/16,width:100%;,西江千户苗寨景区内的博物馆，馆体本身就是非常富有民族特色的吊角楼~需要凭景区门票进入，只有白天开门。要想了解苗寨的前世今生，风土人情，这里是最好的场所~,有用 （0）
186,186,amy旅者在路上,female,15,1425,2015/3/20,width:100%;,整个苗族博物馆是收票的，不过票价比较实惠，我们是等到刚开门的时候去的，里面成列了好几件很大气的苗族的服装。,有用 （0）
187,187,M16****564,male,0,0,2015/2/23,width:100%;,主要描写了苗寨的发展史，苗寨人民的生活起居，怎么样耕种，还有的苗药很独特,有用 （0）
188,188,喵了个咪的嘻嘻嘻,female,2,32,2015/2/21,width:100%;,导游讲解很有耐心，非常涨姿势，而且有很多苗家特有的民俗介绍，非常满意！,有用 （0）
189,189,JimmyLuMR,male,0,15,2015/1/8,width:100%;,一层是购物的地方，主要是是贵州的特色工艺品，主要的还是苗族的银饰品。二层的真正的博物馆，展出了贵州主要的出土文物，让人理解贵州的历史过程。苗族的文化在博物馆的展品中占了较大比重，苗族的历史和文化其实非常悠长。总体感觉博物馆的内容不够丰富，力量还需要加强,有用 （0）
194,194,曦雪,female,0,0,2014/10/21,width:100%;,讲点苗家的习俗之类的，博物馆较小，内容比较简单，可以粗略的了解苗族的生活起居，风土人情。,有用 （0）
196,196,131****9393,female,0,0,2014/10/6,width:100%;,没什么好说，商业气氛很浓。东西太贵，肯爹的门票120一人,有用 （0）
198,198,e13****55,female,0,0,2014/8/29,width:100%;,商业气息浓厚，配套设施完善，晚上活动丰富，可以看夜景，拍照，喝酒随便你,有用 （0）
199,199,不乐不归,male,66,281,2014/8/22,width:100%;,在西江苗寨景区内，博物馆集中展现了苗族的衣食住行，劳动生产，宗教文化的特色，值得一游。,有用 （0）
201,201,Qiunong-82,female,0,0,2016/10/17,width:100%;,古城博物馆是凤凰九景之一，门票含在联票中，不能单独售票。该博物馆为私人建立，许多民间搜寻的苗族家具和物品都有展览，馆长雷雨喜爱书画，擅长荷花，馆内有多幅作品。,有用 （8）
203,203,huochexia,female,2,1115,2016/3/17,width:100%;,参观完沈从文故居就来到古城博物馆。它是一栋百年老宅，是一个集凤凰古城博物馆、陈宝箴世家、雷雨田艺术馆为一体的博物馆。我对它的木雕最感叹，做工精美，形象丰富。,有用 （5）
204,204,CICI,female,3,57,2015/11/21,width:100%;,古城中大部分是土家族人，她们用自己特有的手艺创造财富（编制、刺绣、雕刻、姜糖、血粑鸭等）；这里的小吃非常的美妙，有的是古城以外很难吃到的；她们沿沱江两岸居住，跳岩是他们最早的桥梁。走在青石板路上看着两侧的人家店铺，你会发现这里有很多的“凤凰”（屋檐、凤凰广场、沈先生的笔下）,有用 （4）
211,211,和尚丶哥哥s,male,0,1,2014/3/6,width:100%;,家族博物馆，里面没有什么好看的，就是大宅的外观很漂亮，过去大户人家对住宅的风水规格都是很讲究的。,有用 （3）
215,215,冰黑茶,male,0,0,2017/6/10,width:100%;,进去的时候是两点二十左右，逛完两点五十正要走工作人员很热情的介绍说三点会有苗家特色的精彩演出，果然，配上老建筑让人不禁回到过去,有用 （2）
219,219,Lydia 伊蝶,female,2,25,2016/10/19,width:100%;,凤凰古城旅游大概花了两时间，感觉完全没有待够，再有休息时间一定还要再去玩，带上家人，朋友，，山水环绕着古城，一座座古建筑房屋建筑美轮美奂！古博物馆学就给我们很多文化遗产！值得我们深思推崇！,有用 （2）
223,223,denis天涯任我行,male,4,1223,2014/7/15,width:100%;,"凤凰古城博物馆是凤凰九景之一，原陈宝箴世家的百年老宅，坐落在凤凰古城道门口，是我在凤凰古城内见过最完美老宅，虽历经百年沧桑，那深宅大院的庄严，那烟雨楼台的精致，给人一种朦胧迷离的遐想，那马头墙装饰的鳌头，镂花的门窗，，古色古香的瓦沿顶其上雕花或绘图，小巧别致，极其精美，极富民族风情。
凤凰古城博物馆还成例了陈宝箴的后裔向博物馆捐赠的家族遗物、图片、资料、著作等",有用 （2）
232,232,当地向导张家界星感觉自由行,male,3,65,2016/5/23,width:100%;,对凤凰的认识还是处在沈从文的边城里，翠翠，一个全国都知道的名字，凤凰的美在于他的纯净，他的无邪，每个人到凤凰都说凤凰变了，凤凰没变，变的是人。,有用 （1）
234,234,134****5898,female,0,0,2014/6/30,width:100%;,古城很有特色，值得大家去游玩，苗族人很热情。,有用 （1）
237,237,elsashen0529,female,25,529,2014/5/7,width:100%;,凤凰古城博物馆也算是古城的核心地界，这里展示了很多当地人的风俗人情，了解苗族文化，很好的，觉得很有意思的。,有用 （1）
240,240,IoriF,male,23,15,2020/4/19,width:100%;,凤凰古城博物馆坐落在凤凰古城道门口，原陈宝箴世家的百年老宅，占地面积达1600多平方米，是一个集古城博物馆、陈宝箴世家为一体的文化载体。凤凰古城博物馆将成为我县人文景观的又一道风景，为对外交流及沟通海峡两岸文化提供重要的展示平台,有用 （0）
241,241,M33****6429,female,2,85,2020/3/21,width:100%;,凤凰古城位于湖南省，这里的建筑风格都很独特，漂亮又壮观，很有艺术特色！漫步在古城内，欣赏着众多的建筑，让人留连忘返！博物馆内很多珍贵的藏品，让人大开眼界！,有用 （0）
242,242,WillSum,male,9,287,2020/3/6,width:100%;,"算得上了解这座古城的窗口吧 但说实话如今不是因为对联票上其他景点有兴趣大可不必前来 里面的展品其实在很多地方甚至弄的更好
个人感觉沈从文先生的东西才是凤凰展示里面可能更逼人眼球的",有用 （0）
243,243,M33****6429,female,2,85,2020/2/18,width:100%;,凤凰古城真是个美好的地方，景色优美，气候宜人，湘西的风土人情气息浓郁，让人感到心情特别舒畅！古城的博物馆也有好多湘西的传统文化艺术品，能够学到不少知识！不虚此行！,有用 （0）
245,245,M33****6429,female,2,85,2019/12/15,width:100%;,凤凰古城的夜景太漂亮了，不愧闻名已久，夜晚降临，步行至凤凰古城，灯光夜景震撼人心，站在高高的桥上，俯瞰全景更是壮观，游客很多，热闹非凡！,有用 （0）
247,247,M33****6429,female,2,85,2019/12/2,width:100%;,凤凰古城的景色太迷人，让人流连忘返，玩了一天一晚都没有玩够，漫步在古城区里，跟亲人、朋友聊着天，品尝着美食，真的减轻工作压力，释放自己！,有用 （0）
251,251,zbc29,male,21,115,2019/10/28,width:100%;,让人留恋的古老城镇，沈从文的故居。,有用 （0）
253,253,桂林老秦,male,16,914,2019/9/9,width:100%;,是凤凰古城内一个比较有名的景点。如果时间比较充足的话，可以去看一下。感受一下当地的历史。这样会对凤凰有一个更深刻的了解。不光只是看他的山和水也可以了解历史。,有用 （0）
256,256,爱好和平,female,16,73,2019/7/30,width:100%;,凤凰古城博物馆指的是私立凤凰古城博物馆，是书画家、研究员雷雨田先生出资建成的，包含三部分：私立古城博物馆，雷雨田艺术馆和陈宝箴世家。这是凤凰古城收费景点之一，也是最值得收费的一个景点，也是最成熟规范的一个景点。一般都是买套票，凤凰古城所有收费景点套票128元。私立古城博物馆收藏了许多雷雨田先生收藏的民间搜集到的凤凰精品，有石牌，陶瓷，苗族的滴水床，其中有4层滴水床一张，三层滴水床一张，层数越高表示床主人越金贵，最高的层数达九层，那些都在文革期间被毁了。雷雨田艺术馆展览雷雨田先生的很多杰作，其中的一幅字是一个“鹤”字，整个字写得象个鹤，并且这个字里还包含一句成语。我游的当天雷雨田先生在艺术馆里，客人可以买字画，可以在雷雨田先生的同意下折价。陈宝箴世家介绍陈家的一些人物，陈宝箴家出了很多名人，应该说是凤凰第一家族了。整个博物馆参观时会有专门的讲解员，带你按顺序参观。他们的讲解简单明了，有时就一句话。他们的讲解内容都是背熟了的，每个讲解员讲的几乎完全一样，我听了一男一女两个讲解员讲解。如果你问问题，他们几乎不回答，而问问题的人也是凤毛麟角，我问了一个问题：整个博物馆花了多少经费，问了几次，都不回答。其实如果说：不大清楚或不公开等也是答案，但讲解员就是不回答。在我看来，整个凤凰人文景观的最精华部分就是凤凰古城博物馆了。雷雨田先生对凤凰古城的贡献是巨大的，无法用金钱来衡量的。,有用 （0）
257,257,亲爱的热爱的你,female,2,1,2019/7/23,width:100%;,古风，青石板小路，湘西苗族，沱江。,有用 （0）
258,258,L-Y-N,female,13,36,2019/5/18,width:100%;,凤凰古城博物馆坐落在凤凰古城道门口，原陈宝箴世家的百年老宅，博物馆陈列了几种几亿年前的矿石标本和古生物化石。这是古城内需要另外收费的小景点。,有用 （0）
260,260,风筝爱旅行,male,37,35,2019/3/2,width:100%;,来凤凰，还是可以进去瞧瞧，了解下凤凰的历史。,有用 （0）
262,262,斯卡堡,female,110,450,2018/11/12,width:100%;,湘西凤凰古城博物馆坐落凤凰广场东边的东正街和登瀛街的交汇处，是整个古城非常热闹的地方，古色古香的建筑展示了古城的历史、文化、艺术，是陈姓世家的百年老宅，承载了几代人的传承，一楼主要是陈家历史的见证物，二楼为古城博物馆、雷雨田艺术馆展示厅。,有用 （0）
264,264,我是一个快乐的旅行者,male,2,0,2018/9/19,width:100%;,博物馆现在只保留了一个楼，其他的现在划为艺术展览馆。,有用 （0）
266,266,红艳_29,female,29,3151,2018/8/16,width:100%;,凤凰古城博物馆顺道去看了看，还不错。,有用 （0）
267,267,118****293,male,0,0,2018/8/13,width:100%;,凤凰古城博物馆介绍了当地的风土人情，主要是苗族，更加深刻清晰的了解了凤凰古城,有用 （0）
268,268,M25****4707,female,18,4,2018/7/8,width:100%;,凤凰古城博物馆，也就是陈宝箴世家的百年老宅，位于凤凰古城的中心地带，连接古城东、西两边的石板从门前穿过。博物馆内古建筑群经过百年沧桑，保留完整，从建筑的布局到雕梁画栋与陈宝箴世家相得益彰，形成了家中有家、馆中有馆、庭院深深的幽然境界。值得一去参观。,有用 （0）
269,269,M24****4334,male,0,0,2018/5/10,width:100%;,凤凰古城，景色秀丽宜人，尤其是晚上游玩，非常漂亮！很值得一看。,有用 （0）
270,270,_WeCh****61996,male,0,0,2018/5/9,width:100%;,环境好，老板热情，房间舒服，比较实惠，,有用 （0）
271,271,M32****866,female,3,0,2018/4/21,width:100%;,凤凰古城，是我见过的最美古城，河水是那样清澈，房子是那样的古朴。,有用 （0）
273,273,小波12345678,male,2,37,2018/4/3,width:100%;,值得去看一下啊，这里是凤凰古城的一个博物馆啊。,有用 （0）
274,274,M23****1937,male,0,0,2018/3/11,width:100%;,很多年的历史时期，一直保留的原面貌，很有味道,有用 （0）
275,275,六翼天使琼,male,0,0,2018/1/9,width:100%;,凤凰古城博物馆 历史文化悠久 去看看吧,有用 （0）
276,276,糖果丅,female,24,138,2017/12/30,width:100%;,我们大家走一走，看一看就来到了这里，赞,有用 （0）
285,285,yy****18,male,1,0,2017/10/13,width:100%;,值得一去，各种学习，文化的集中地,有用 （0）
286,286,小眼镜张,female,21,83,2017/9/22,width:100%;,博物馆内古建筑群经过百年沧桑，保留完整。,有用 （0）
287,287,189****4351,male,2,40,2017/9/20,width:100%;,去古城游玩，去看了看博物馆，了解下当地的文化。,有用 （0）
288,288,斯塔罗斯信陵君,female,0,0,2017/8/16,width:100%;,个人对博物馆不怎么感兴趣，除了以前的一些东西以外没什么意思,有用 （0）
289,289,白加黑2006,male,0,1,2017/7/25,width:100%;,进去看看古城历史，长知识和见识。,有用 （0）
290,290,138****8040,female,0,0,2017/7/23,width:100%;,朋友们有时间可以去玩噢很不错的地方,有用 （0）
293,293,E22****3833,female,0,0,2017/6/7,width:100%;,古城博物馆的表演缠头发很精彩，几米长的头巾被妹子们边舞边缠全部缠到了头上。在九景中，它的规模最大，参观的人也最多。藏品值得一看。,有用 （0）
294,294,百变的精灵,female,0,0,2017/5/29,width:100%;,很有意义的地方 长知识 值得去学习,有用 （0）
295,295,cjn817208,male,0,1,2017/5/4,width:100%;,记录了凤凰古城的发展史，位置好找。,有用 （0）
299,299,放肆的野性,female,0,0,2017/2/23,width:100%;,博物馆里边还有很多黄永玉老先生的画作展示，有人说“凤凰都在黄永玉的画里”，值得来欣赏一下呢。,有用 （0）
